,airline,dep_time,from,time_taken,stop,arr_time,to,price,class
32882,Indigo,14:05,Delhi,08h 20m,1-stop,22:25,Mumbai,"3,631",0.0
32883,GO FIRST,15:20,Mumbai,05h 00m,1-stop,20:20,Delhi,"30,723",0.0
32884,Vistara,10:25,Kolkata,06h 30m,1-stop,16:55,Delhi,"15,099",0.0
32886,Air India,08:30,Chennai,26h 45m,1-stop,11:15,Mumbai,"5,950",0.0
32888,GO FIRST,09:10,Kolkata,14h 55m,1-stop,00:05,Hyderabad,"6,488",0.0
32889,Air India,06:10,Bangalore,11h 50m,1-stop,18:00,Mumbai,"9,855",0.0
32890,Air India,09:00,Mumbai,14h 10m,1-stop,23:10,Delhi,"4,421",0.0
32893,Indigo,13:50,Hyderabad,08h 50m,1-stop,22:40,Delhi,"3,397",0.0
32902,Vistara,10:25,Kolkata,12h 00m,1-stop,22:25,Delhi,"20,808",0.0
32908,Indigo,15:55,Hyderabad,02h 15m,non-stop,18:10,Delhi,"6,133",0.0
32909,Vistara,18:45,Kolkata,28h 00m,1-stop,22:45,Chennai,"11,853",0.0
32910,Air India,15:30,Kolkata,24h 45m,1-stop,16:15,Bangalore,"7,054",0.0
32913,Vistara,13:40,Delhi,31h 15m,2+-stop,20:55,Hyderabad,"11,695",0.0
32916,Vistara,10:25,Mumbai,09h 10m,1-stop,19:35,Kolkata,"6,159",0.0
32920,GO FIRST,05:45,Delhi,02h 05m,non-stop,07:50,Kolkata,"3,999",0.0
32922,Vistara,20:35,Kolkata,16h 05m,1-stop,12:40,Delhi,"9,616",0.0
32923,Indigo,09:40,Delhi,11h 05m,1-stop,20:45,Bangalore,"10,889",0.0
32928,Indigo,09:15,Mumbai,08h 00m,1-stop,17:15,Chennai,"9,975",0.0
32932,Indigo,10:50,Hyderabad,06h 05m,1-stop,16:55,Kolkata,"5,293",0.0
32934,Vistara,11:00,Hyderabad,10h 35m,1-stop,21:35,Mumbai,"7,576",0.0
32936,Vistara,14:40,Mumbai,19h 00m,1-stop,09:40,Hyderabad,"12,557",0.0
32937,Vistara,06:40,Bangalore,15h 15m,1-stop,21:55,Delhi,"10,744",0.0
32942,Air India,18:15,Bangalore,01h 30m,non-stop,19:45,Hyderabad,"4,707",0.0
32943,Vistara,19:00,Delhi,12h 50m,1-stop,07:50,Hyderabad,"5,578",0.0
32946,Vistara,12:10,Mumbai,08h 05m,2+-stop,20:15,Chennai,"8,320",0.0
32947,Vistara,07:10,Kolkata,07h 50m,1-stop,15:00,Mumbai,"11,139",0.0
32948,Air India,06:00,Hyderabad,14h 55m,1-stop,20:55,Delhi,"4,487",0.0
32951,Air India,08:00,Delhi,27h 10m,1-stop,11:10,Bangalore,"10,680",0.0
32953,Vistara,08:30,Bangalore,23h 20m,1-stop,07:50,Hyderabad,"7,813",0.0
32954,Indigo,06:35,Chennai,05h 40m,1-stop,12:15,Mumbai,"4,276",0.0
32955,Air India,17:15,Kolkata,17h 15m,2+-stop,10:30,Hyderabad,"7,176",0.0
32956,Indigo,14:50,Bangalore,05h 55m,1-stop,20:45,Mumbai,"6,092",0.0
32958,Air India,14:55,Chennai,31h 35m,1-stop,22:30,Bangalore,"5,600",0.0
32960,Vistara,20:35,Hyderabad,23h 50m,1-stop,20:25,Bangalore,"6,776",0.0
32964,Vistara,10:25,Kolkata,27h 45m,1-stop,14:10,Delhi,"24,501",0.0
32969,Indigo,13:55,Kolkata,08h 55m,1-stop,22:50,Bangalore,"6,977",0.0
32971,Air India,10:45,Hyderabad,34h 50m,2+-stop,21:35,Mumbai,"13,173",0.0
32972,Indigo,09:00,Chennai,07h 45m,1-stop,16:45,Delhi,"11,752",0.0
32973,Indigo,10:00,Delhi,02h 10m,non-stop,12:10,Kolkata,"6,270",0.0
32977,Air India,13:00,Kolkata,25h 40m,1-stop,14:40,Delhi,"8,425",0.0
32979,Air India,06:10,Chennai,32h 55m,1-stop,15:05,Mumbai,"16,176",0.0
32981,Vistara,18:25,Bangalore,13h 25m,1-stop,07:50,Hyderabad,"8,251",0.0
32983,Vistara,18:50,Bangalore,27h 55m,1-stop,22:45,Chennai,"7,245",0.0
32987,Air India,05:30,Delhi,29h 30m,1-stop,11:00,Chennai,"25,843",0.0
33000,Vistara,08:45,Mumbai,07h 35m,1-stop,16:20,Chennai,"11,129",0.0
33002,Air India,08:35,Bangalore,22h 40m,1-stop,07:15,Chennai,"3,720",0.0
33012,Indigo,16:25,Mumbai,05h 35m,1-stop,22:00,Bangalore,"4,073",0.0
33014,Air India,21:30,Mumbai,18h 30m,1-stop,16:00,Kolkata,"6,000",0.0
33016,Indigo,15:00,Hyderabad,05h 00m,1-stop,20:00,Kolkata,"8,490",0.0
33017,Vistara,09:45,Chennai,08h 20m,1-stop,18:05,Delhi,"11,868",0.0
33018,GO FIRST,05:50,Delhi,09h 30m,1-stop,15:20,Mumbai,"7,904",0.0
33030,Air India,11:20,Hyderabad,25h 10m,1-stop,12:30,Kolkata,"4,368",0.0
33031,Air India,09:40,Kolkata,13h 55m,1-stop,23:35,Chennai,"8,607",0.0
33033,Vistara,12:55,Hyderabad,04h 50m,1-stop,17:45,Bangalore,"4,892",0.0
33034,Indigo,07:55,Bangalore,07h 55m,2+-stop,15:50,Kolkata,"4,477",0.0
33042,Air India,08:00,Mumbai,08h 15m,2+-stop,16:15,Chennai,"7,487",0.0
33043,Vistara,21:40,Bangalore,10h 55m,1-stop,08:35,Delhi,"10,744",0.0
33046,Indigo,08:55,Delhi,08h 30m,1-stop,17:25,Kolkata,"14,744",0.0
33050,Vistara,10:20,Hyderabad,11h 15m,1-stop,21:35,Mumbai,"6,341",0.0
33053,Vistara,07:00,Bangalore,15h 55m,1-stop,22:55,Hyderabad,"6,133",0.0
33055,Indigo,13:50,Hyderabad,08h 40m,1-stop,22:30,Delhi,"5,577",0.0
33057,Vistara,12:25,Mumbai,21h 30m,1-stop,09:55,Chennai,"11,307",0.0
33059,Air India,19:00,Bangalore,21h 45m,1-stop,16:45,Delhi,"19,197",0.0
33063,Vistara,19:55,Bangalore,14h 05m,1-stop,10:00,Mumbai,"7,417",0.0
33065,Vistara,12:15,Mumbai,10h 30m,2+-stop,22:45,Kolkata,"8,828",0.0
33066,Air India,17:50,Bangalore,25h 30m,1-stop,19:20,Hyderabad,"6,200",0.0
33071,Air India,13:20,Bangalore,10h 15m,1-stop,23:35,Chennai,"7,704",0.0
33073,Vistara,11:30,Mumbai,05h 15m,1-stop,16:45,Delhi,"4,970",0.0
33074,Indigo,17:35,Kolkata,02h 50m,non-stop,20:25,Mumbai,"9,639",0.0
33078,Vistara,07:00,Mumbai,13h 15m,2+-stop,20:15,Chennai,"8,130",0.0
33080,Air India,09:55,Chennai,09h 15m,1-stop,19:10,Kolkata,"5,978",0.0
33082,Air India,11:00,Delhi,27h 50m,1-stop,14:50,Kolkata,"13,883",0.0
33084,Vistara,18:45,Kolkata,22h 15m,1-stop,17:00,Bangalore,"21,504",0.0
33085,Air India,08:10,Mumbai,13h 25m,1-stop,21:35,Delhi,"5,691",0.0
33086,Indigo,05:35,Mumbai,05h 25m,1-stop,11:00,Kolkata,"3,980",0.0
33088,Indigo,07:00,Hyderabad,02h 15m,non-stop,09:15,Delhi,"3,611",0.0
33089,Indigo,09:40,Delhi,09h 55m,1-stop,19:35,Bangalore,"4,168",0.0
33090,Vistara,19:00,Bangalore,12h 50m,1-stop,07:50,Hyderabad,"4,628",0.0
33091,Vistara,18:45,Kolkata,21h 45m,1-stop,16:30,Mumbai,"6,311",0.0
33093,Vistara,07:00,Chennai,26h 40m,1-stop,09:40,Kolkata,"7,344",0.0
33097,Vistara,07:10,Kolkata,09h 50m,1-stop,17:00,Hyderabad,"10,604",0.0
33099,Vistara,09:45,Chennai,11h 10m,1-stop,20:55,Hyderabad,"6,032",0.0
33100,Vistara,06:55,Chennai,26h 40m,1-stop,09:35,Kolkata,"6,672",0.0
33101,Indigo,16:20,Mumbai,03h 45m,1-stop,20:05,Chennai,"7,258",0.0
33103,Indigo,15:00,Kolkata,05h 55m,1-stop,20:55,Hyderabad,"11,634",0.0
33105,Air India,09:50,Mumbai,10h 15m,1-stop,20:05,Kolkata,"9,526",0.0
33106,Air India,17:00,Chennai,24h 35m,1-stop,17:35,Kolkata,"7,357",0.0
33111,Air India,06:20,Chennai,15h 15m,1-stop,21:35,Hyderabad,"11,448",0.0
33118,Air India,17:20,Delhi,15h 15m,1-stop,08:35,Mumbai,"10,544",0.0
33119,Indigo,22:25,Hyderabad,04h 30m,1-stop,02:55,Mumbai,"12,950",0.0
33120,Air India,11:00,Hyderabad,03h 55m,1-stop,14:55,Bangalore,"4,453",0.0
33121,Indigo,10:15,Delhi,07h 40m,1-stop,17:55,Mumbai,"9,373",0.0
33125,Air India,07:35,Bangalore,06h 15m,1-stop,13:50,Delhi,"9,904",0.0
33129,Vistara,12:45,Bangalore,26h 00m,1-stop,14:45,Mumbai,"17,779",0.0
33130,Indigo,05:15,Chennai,08h 30m,1-stop,13:45,Mumbai,"6,092",0.0
33132,Vistara,06:00,Mumbai,14h 25m,1-stop,20:25,Bangalore,"9,168",0.0
33136,Indigo,13:30,Hyderabad,08h 15m,1-stop,21:45,Delhi,"3,397",0.0
33137,Vistara,09:45,Mumbai,14h 10m,1-stop,23:55,Delhi,"5,343",0.0
33141,Vistara,07:00,Chennai,26h 05m,1-stop,09:05,Hyderabad,"6,015",0.0
33142,Air India,20:15,Delhi,25h 00m,1-stop,21:15,Hyderabad,"14,460",0.0
33145,Indigo,06:35,Hyderabad,03h 30m,1-stop,10:05,Bangalore,"1,755",0.0
33150,Vistara,17:35,Kolkata,18h 40m,1-stop,12:15,Hyderabad,"12,032",0.0
33151,Air India,10:25,Kolkata,08h 55m,1-stop,19:20,Hyderabad,"13,734",0.0
33152,Air India,11:50,Bangalore,12h 05m,1-stop,23:55,Delhi,"11,584",0.0
33153,Indigo,16:30,Chennai,06h 15m,1-stop,22:45,Kolkata,"5,042",0.0
33154,Air India,09:30,Mumbai,10h 45m,1-stop,20:15,Hyderabad,"3,868",0.0
33155,Indigo,16:00,Delhi,02h 10m,non-stop,18:10,Mumbai,"3,570",0.0
33157,Air India,17:15,Kolkata,25h 15m,1-stop,18:30,Bangalore,"13,419",0.0
33160,Air India,11:35,Kolkata,05h 50m,1-stop,17:25,Mumbai,"8,064",0.0
33162,Air India,14:20,Mumbai,26h 10m,1-stop,16:30,Delhi,"10,143",0.0
33163,Vistara,06:50,Hyderabad,05h 45m,1-stop,12:35,Mumbai,"4,660",0.0
33164,Indigo,21:40,Bangalore,02h 35m,non-stop,00:15,Kolkata,"3,551",0.0
33165,Indigo,21:25,Mumbai,01h 50m,non-stop,23:15,Chennai,"3,633",0.0
33166,Air India,13:20,Bangalore,23h 05m,1-stop,12:25,Hyderabad,"14,002",0.0
33171,Air India,06:10,Chennai,13h 10m,1-stop,19:20,Hyderabad,"4,294",0.0
33174,Indigo,12:45,Mumbai,06h 30m,1-stop,19:15,Kolkata,"3,980",0.0
33176,Vistara,20:35,Hyderabad,22h 15m,1-stop,18:50,Bangalore,"22,303",0.0
33184,Vistara,07:00,Chennai,17h 10m,1-stop,00:10,Delhi,"11,448",0.0
33187,Air India,20:15,Mumbai,22h 15m,1-stop,18:30,Delhi,"5,366",0.0
33188,Air India,10:25,Kolkata,13h 10m,1-stop,23:35,Hyderabad,"19,509",0.0
33190,Indigo,13:35,Hyderabad,06h 25m,1-stop,20:00,Kolkata,"5,293",0.0
33200,Air India,06:30,Hyderabad,26h 25m,1-stop,08:55,Chennai,"5,461",0.0
33201,Air India,07:55,Mumbai,06h 45m,1-stop,14:40,Delhi,"6,230",0.0
33202,Vistara,17:35,Mumbai,05h 20m,1-stop,22:55,Hyderabad,"5,099",0.0
33203,Vistara,18:25,Bangalore,15h 15m,1-stop,09:40,Kolkata,"13,303",0.0
33205,Indigo,07:00,Bangalore,01h 05m,non-stop,08:05,Chennai,"1,604",0.0
33209,Vistara,06:50,Hyderabad,14h 25m,1-stop,21:15,Mumbai,"5,795",0.0
33212,Vistara,08:30,Hyderabad,11h 25m,1-stop,19:55,Kolkata,"12,524",0.0
33214,Indigo,02:40,Mumbai,02h 10m,non-stop,04:50,Delhi,"3,108",0.0
33215,Indigo,07:00,Delhi,10h 05m,1-stop,17:05,Hyderabad,"3,457",0.0
33216,Vistara,21:35,Hyderabad,19h 15m,1-stop,16:50,Kolkata,"14,113",0.0
33217,Indigo,16:30,Chennai,05h 00m,1-stop,21:30,Hyderabad,"1,105",0.0
33218,Air India,06:50,Delhi,14h 00m,1-stop,20:50,Bangalore,"6,045",0.0
33219,Indigo,22:45,Chennai,08h 55m,1-stop,07:40,Mumbai,"1,830",0.0
33220,Vistara,06:50,Hyderabad,09h 40m,1-stop,16:30,Mumbai,"4,660",0.0
33222,GO FIRST,06:05,Delhi,12h 05m,2+-stop,18:10,Mumbai,"11,295",0.0
33223,Vistara,20:35,Kolkata,13h 05m,1-stop,09:40,Delhi,"7,408",0.0
33224,Air India,05:45,Bangalore,13h 25m,1-stop,19:10,Kolkata,"6,583",0.0
33225,Air India,10:15,Delhi,11h 20m,2+-stop,21:35,Hyderabad,"13,413",0.0
33226,Air India,13:30,Kolkata,19h 55m,1-stop,09:25,Delhi,"6,464",0.0
33229,Indigo,09:00,Chennai,07h 25m,1-stop,16:25,Hyderabad,"4,585",0.0
33233,Vistara,18:50,Bangalore,13h 45m,1-stop,08:35,Kolkata,"11,205",0.0
33234,Indigo,12:45,Bangalore,05h 00m,1-stop,17:45,Mumbai,"12,476",0.0
33236,Indigo,18:00,Delhi,04h 30m,1-stop,22:30,Mumbai,"4,326",0.0
33239,Vistara,08:30,Hyderabad,26h 15m,1-stop,10:45,Bangalore,"8,776",0.0
33240,Indigo,08:35,Delhi,08h 35m,1-stop,17:10,Kolkata,"8,885",0.0
33241,Indigo,07:25,Delhi,05h 45m,1-stop,13:10,Kolkata,"14,255",0.0
33242,GO FIRST,09:00,Hyderabad,13h 05m,1-stop,22:05,Bangalore,"7,922",0.0
33247,Indigo,16:25,Mumbai,01h 50m,non-stop,18:15,Chennai,"6,153",0.0
33248,Air India,13:15,Hyderabad,08h 40m,1-stop,21:55,Bangalore,"14,218",0.0
33252,Air India,13:00,Kolkata,30h 00m,2+-stop,19:00,Chennai,"7,543",0.0
33253,GO FIRST,05:00,Hyderabad,15h 10m,1-stop,20:10,Delhi,"6,262",0.0
33260,Vistara,06:50,Hyderabad,13h 55m,2+-stop,20:45,Kolkata,"25,033",0.0
33264,Indigo,14:30,Chennai,08h 40m,1-stop,23:10,Delhi,"3,860",0.0
33265,Vistara,11:00,Hyderabad,11h 45m,2+-stop,22:45,Kolkata,"14,962",0.0
33271,Air India,06:10,Chennai,26h 50m,2+-stop,09:00,Kolkata,"15,123",0.0
33272,Indigo,18:25,Kolkata,05h 20m,1-stop,23:45,Chennai,"4,960",0.0
33273,Indigo,09:55,Chennai,01h 10m,non-stop,11:05,Hyderabad,"1,800",0.0
33275,Vistara,10:45,Chennai,08h 20m,1-stop,19:05,Mumbai,"11,428",0.0
33276,Vistara,07:40,Hyderabad,27h 00m,1-stop,10:40,Delhi,"5,823",0.0
33279,Vistara,07:10,Kolkata,25h 30m,1-stop,08:40,Bangalore,"13,728",0.0
33281,Vistara,10:45,Chennai,10h 30m,1-stop,21:15,Mumbai,"15,543",0.0
33282,Vistara,13:20,Delhi,33h 45m,2+-stop,23:05,Chennai,"7,767",0.0
33283,Indigo,09:40,Delhi,09h 35m,1-stop,19:15,Kolkata,"16,613",0.0
33290,Vistara,18:45,Kolkata,19h 15m,1-stop,14:00,Mumbai,"7,571",0.0
33293,Air India,07:00,Chennai,05h 55m,1-stop,12:55,Delhi,"7,957",0.0
33294,Vistara,06:50,Hyderabad,12h 45m,1-stop,19:35,Kolkata,"20,623",0.0
33295,Indigo,15:05,Mumbai,06h 15m,1-stop,21:20,Delhi,"3,010",0.0
33301,Vistara,07:55,Bangalore,06h 35m,1-stop,14:30,Mumbai,"4,192",0.0
33302,Indigo,15:00,Kolkata,07h 30m,1-stop,22:30,Hyderabad,"2,436",0.0
33308,Indigo,09:55,Delhi,07h 45m,1-stop,17:40,Kolkata,"30,735",0.0
33312,Vistara,17:10,Chennai,14h 45m,1-stop,07:55,Mumbai,"4,452",0.0
33317,Vistara,15:20,Kolkata,21h 15m,1-stop,12:35,Hyderabad,"11,561",0.0
33318,Indigo,13:05,Bangalore,06h 35m,1-stop,19:40,Kolkata,"14,796",0.0
33319,Air India,13:40,Kolkata,26h 35m,1-stop,16:15,Delhi,"8,821",0.0
33320,Indigo,09:55,Delhi,07h 45m,1-stop,17:40,Kolkata,"13,767",0.0
33323,GO FIRST,05:45,Kolkata,09h 40m,1-stop,15:25,Hyderabad,"8,108",0.0
33325,Vistara,13:20,Delhi,26h 40m,1-stop,16:00,Mumbai,"19,553",0.0
33329,Air India,18:30,Delhi,25h 20m,1-stop,19:50,Bangalore,"4,469",0.0
33330,Indigo,11:00,Delhi,08h 35m,1-stop,19:35,Bangalore,"3,829",0.0
33332,Vistara,17:40,Hyderabad,29h 00m,2+-stop,22:40,Bangalore,"6,776",0.0
33335,Air India,09:00,Mumbai,25h 50m,1-stop,10:50,Kolkata,"7,240",0.0
33340,Vistara,21:35,Hyderabad,12h 05m,1-stop,09:40,Delhi,"6,817",0.0
33342,GO FIRST,02:00,Delhi,02h 15m,non-stop,04:15,Mumbai,"5,954",0.0
33345,Vistara,12:30,Chennai,31h 20m,1-stop,19:50,Delhi,"7,476",0.0
33346,Air India,09:25,Kolkata,21h 50m,1-stop,07:15,Chennai,"4,893",0.0
33349,Air India,21:15,Delhi,02h 55m,non-stop,00:10,Bangalore,"4,007",0.0
33350,Indigo,10:30,Bangalore,01h 45m,non-stop,12:15,Mumbai,"2,309",0.0
33351,Vistara,11:00,Hyderabad,11h 50m,1-stop,22:50,Mumbai,"14,962",0.0
33352,Air India,19:10,Bangalore,15h 45m,1-stop,10:55,Chennai,"5,137",0.0
33353,Vistara,09:30,Bangalore,10h 25m,1-stop,19:55,Chennai,"5,731",0.0
33360,Indigo,13:05,Bangalore,05h 05m,1-stop,18:10,Delhi,"13,841",0.0
33363,Air India,08:30,Chennai,25h 40m,1-stop,10:10,Mumbai,"5,320",0.0
33365,Vistara,15:20,Kolkata,21h 15m,1-stop,12:35,Hyderabad,"7,020",0.0
33366,Vistara,18:45,Kolkata,14h 55m,1-stop,09:40,Hyderabad,"6,075",0.0
33369,Vistara,20:25,Kolkata,26h 15m,1-stop,22:40,Bangalore,"8,111",0.0
33377,Indigo,21:20,Delhi,05h 15m,1-stop,02:35,Bangalore,"3,996",0.0
33380,Air India,18:00,Delhi,05h 40m,1-stop,23:40,Kolkata,"6,311",0.0
33382,Vistara,07:10,Kolkata,26h 30m,1-stop,09:40,Hyderabad,"5,632",0.0
33383,Indigo,18:15,Bangalore,04h 05m,1-stop,22:20,Hyderabad,"4,721",0.0
33388,Vistara,09:30,Bangalore,10h 15m,1-stop,19:45,Delhi,"5,211",0.0
33389,Air India,09:00,Mumbai,08h 10m,1-stop,17:10,Delhi,"9,105",0.0
33390,Vistara,12:25,Mumbai,10h 30m,1-stop,22:55,Hyderabad,"10,593",0.0
33392,Air India,13:20,Bangalore,06h 40m,1-stop,20:00,Mumbai,"11,703",0.0
33396,GO FIRST,17:20,Bangalore,05h 35m,1-stop,22:55,Delhi,"7,487",0.0
33404,Vistara,06:30,Delhi,14h 15m,1-stop,20:45,Kolkata,"9,000",0.0
33420,Indigo,07:05,Mumbai,06h 05m,1-stop,13:10,Bangalore,"2,124",0.0
33422,Air India,16:45,Delhi,25h 05m,1-stop,17:50,Mumbai,"5,927",0.0
33427,Indigo,12:45,Bangalore,05h 00m,1-stop,17:45,Mumbai,"4,757",0.0
33428,GO FIRST,06:05,Hyderabad,09h 15m,1-stop,15:20,Mumbai,"12,223",0.0
33429,Vistara,17:50,Mumbai,02h 05m,non-stop,19:55,Chennai,"3,335",0.0
33431,Air India,04:50,Delhi,12h 15m,1-stop,17:05,Bangalore,"4,728",0.0
33432,Indigo,22:25,Chennai,06h 45m,1-stop,05:10,Kolkata,"2,359",0.0
33434,Vistara,10:25,Mumbai,12h 30m,1-stop,22:55,Hyderabad,"10,058",0.0
33439,Vistara,07:00,Chennai,07h 05m,1-stop,14:05,Delhi,"11,868",0.0
33441,Air India,15:15,Bangalore,19h 40m,1-stop,10:55,Chennai,"5,536",0.0
33442,Air India,15:35,Mumbai,16h 30m,1-stop,08:05,Kolkata,"13,254",0.0
33445,Vistara,10:15,Kolkata,13h 05m,2+-stop,23:20,Bangalore,"12,175",0.0
33446,Vistara,17:10,Chennai,06h 10m,1-stop,23:20,Bangalore,"17,958",0.0
33450,Air India,17:20,Delhi,24h 15m,1-stop,17:35,Kolkata,"7,570",0.0
33454,Air India,18:40,Delhi,25h 50m,1-stop,20:30,Kolkata,"12,255",0.0
33457,Air India,14:40,Kolkata,26h 25m,1-stop,17:05,Mumbai,"6,946",0.0
33461,Air India,06:30,Hyderabad,27h 40m,1-stop,10:10,Mumbai,"15,702",0.0
33462,Air India,15:30,Kolkata,20h 25m,1-stop,11:55,Hyderabad,"5,145",0.0
33467,Indigo,14:05,Delhi,08h 20m,1-stop,22:25,Mumbai,"10,349",0.0
33468,Vistara,10:45,Chennai,12h 00m,1-stop,22:45,Kolkata,"12,328",0.0
33472,Air India,10:55,Delhi,11h 30m,1-stop,22:25,Mumbai,"13,830",0.0
33473,GO FIRST,16:15,Mumbai,05h 20m,1-stop,21:35,Kolkata,"5,100",0.0
33474,Indigo,08:35,Chennai,08h 45m,1-stop,17:20,Kolkata,"5,042",0.0
33476,Vistara,12:25,Mumbai,21h 30m,1-stop,09:55,Chennai,"4,913",0.0
33480,Air India,16:45,Delhi,28h 05m,1-stop,20:50,Bangalore,"10,138",0.0
33481,Indigo,14:25,Kolkata,06h 00m,1-stop,20:25,Hyderabad,"4,367",0.0
33482,Indigo,15:45,Chennai,06h 55m,1-stop,22:40,Kolkata,"13,720",0.0
33488,Air India,10:35,Mumbai,22h 20m,1-stop,08:55,Chennai,"9,201",0.0
33489,Air India,04:50,Delhi,16h 00m,1-stop,20:50,Bangalore,"8,781",0.0
33490,Air India,06:20,Chennai,16h 10m,1-stop,22:30,Bangalore,"12,908",0.0
33491,Vistara,10:20,Hyderabad,11h 40m,1-stop,22:00,Mumbai,"5,395",0.0
33499,Vistara,17:10,Chennai,23h 50m,1-stop,17:00,Hyderabad,"11,069",0.0
33500,Vistara,21:00,Mumbai,23h 55m,1-stop,20:55,Hyderabad,"6,363",0.0
33505,Air India,10:45,Hyderabad,26h 05m,1-stop,12:50,Mumbai,"11,829",0.0
33506,Vistara,14:15,Delhi,30h 40m,2+-stop,20:55,Hyderabad,"14,784",0.0
33512,Indigo,09:05,Chennai,08h 20m,1-stop,17:25,Kolkata,"7,326",0.0
33513,Vistara,21:40,Bangalore,22h 15m,1-stop,19:55,Chennai,"9,866",0.0
33521,Indigo,19:15,Mumbai,05h 05m,1-stop,00:20,Delhi,"3,402",0.0
33522,Air India,20:45,Kolkata,24h 50m,1-stop,21:35,Mumbai,"16,572",0.0
33523,Vistara,17:40,Hyderabad,24h 25m,1-stop,18:05,Kolkata,"11,854",0.0
33524,Indigo,12:25,Bangalore,04h 30m,1-stop,16:55,Kolkata,"4,477",0.0
33525,Air India,11:20,Hyderabad,23h 35m,1-stop,10:55,Chennai,"7,369",0.0
33527,Indigo,06:50,Kolkata,06h 30m,1-stop,13:20,Bangalore,"8,442",0.0
33528,Air India,13:30,Kolkata,26h 20m,1-stop,15:50,Mumbai,"6,179",0.0
33532,Air India,19:00,Mumbai,25h 50m,1-stop,20:50,Hyderabad,"10,777",0.0
33534,Air India,06:30,Hyderabad,40h 55m,1-stop,23:25,Mumbai,"10,967",0.0
33540,Air India,07:00,Mumbai,15h 20m,1-stop,22:20,Kolkata,"11,508",0.0
33544,Indigo,14:45,Hyderabad,10h 15m,1-stop,01:00,Delhi,"3,397",0.0
33547,Air India,08:00,Delhi,15h 40m,1-stop,23:40,Kolkata,"12,990",0.0
33549,Air India,04:55,Delhi,31h 15m,2+-stop,12:10,Kolkata,"14,266",0.0
33555,Indigo,12:55,Delhi,07h 50m,1-stop,20:45,Bangalore,"9,998",0.0
33556,Air India,06:05,Delhi,11h 00m,1-stop,17:05,Mumbai,"12,990",0.0
33557,Vistara,19:50,Delhi,12h 00m,1-stop,07:50,Hyderabad,"6,297",0.0
33566,Indigo,09:20,Bangalore,01h 20m,non-stop,10:40,Hyderabad,"6,753",0.0
33572,Air India,18:35,Mumbai,21h 40m,2+-stop,16:15,Bangalore,"15,512",0.0
33574,Indigo,07:30,Kolkata,06h 35m,1-stop,14:05,Hyderabad,"12,632",0.0
33576,Vistara,11:00,Hyderabad,07h 15m,2+-stop,18:15,Bangalore,"16,318",0.0
33578,Indigo,23:45,Bangalore,06h 20m,1-stop,06:05,Kolkata,"4,477",0.0
33580,Vistara,09:30,Bangalore,07h 20m,1-stop,16:50,Kolkata,"11,696",0.0
33588,Air India,06:10,Delhi,11h 25m,1-stop,17:35,Kolkata,"6,946",0.0
33590,GO FIRST,20:05,Delhi,12h 30m,1-stop,08:35,Kolkata,"5,418",0.0
33591,Air India,06:10,Mumbai,14h 45m,1-stop,20:55,Delhi,"5,798",0.0
33592,Air India,14:55,Chennai,19h 20m,1-stop,10:15,Delhi,"4,494",0.0
33593,Vistara,21:10,Bangalore,17h 20m,1-stop,14:30,Mumbai,"18,019",0.0
33598,Vistara,13:30,Delhi,09h 05m,1-stop,22:35,Mumbai,"10,907",0.0
33599,Indigo,06:45,Hyderabad,05h 45m,1-stop,12:30,Chennai,"5,083",0.0
33601,Air India,07:00,Mumbai,09h 15m,1-stop,16:15,Bangalore,"6,502",0.0
33603,Vistara,08:00,Bangalore,13h 35m,1-stop,21:35,Mumbai,"22,692",0.0
33604,Indigo,15:55,Hyderabad,02h 15m,non-stop,18:10,Delhi,"3,191",0.0
33605,Indigo,11:00,Kolkata,07h 40m,1-stop,18:40,Delhi,"15,766",0.0
33607,Indigo,15:45,Chennai,06h 55m,1-stop,22:40,Kolkata,"12,025",0.0
33608,Indigo,09:25,Delhi,10h 25m,2+-stop,19:50,Kolkata,"6,008",0.0
33613,Indigo,15:40,Kolkata,06h 55m,1-stop,22:35,Delhi,"4,439",0.0
33614,Air India,11:50,Bangalore,31h 30m,1-stop,19:20,Hyderabad,"13,225",0.0
33617,Indigo,15:00,Kolkata,04h 30m,1-stop,19:30,Hyderabad,"6,977",0.0
33622,Vistara,07:00,Hyderabad,02h 00m,non-stop,09:00,Delhi,"2,350",0.0
33623,Indigo,05:30,Delhi,05h 25m,1-stop,10:55,Mumbai,"2,410",0.0
33625,Vistara,10:25,Delhi,22h 25m,1-stop,08:50,Bangalore,"7,898",0.0
33626,GO FIRST,05:00,Chennai,09h 30m,1-stop,14:30,Delhi,"7,352",0.0
33628,Air India,13:15,Hyderabad,09h 10m,1-stop,22:25,Mumbai,"7,498",0.0
33629,Air India,05:45,Bangalore,02h 35m,non-stop,08:20,Kolkata,"3,393",0.0
33631,Indigo,14:00,Kolkata,02h 10m,non-stop,16:10,Hyderabad,"5,807",0.0
33632,Vistara,17:35,Mumbai,05h 20m,1-stop,22:55,Hyderabad,"10,058",0.0
33633,Air India,11:35,Kolkata,22h 35m,2+-stop,10:10,Mumbai,"6,433",0.0
33634,Indigo,17:30,Kolkata,04h 05m,1-stop,21:35,Delhi,"4,439",0.0
33635,Air India,12:50,Bangalore,28h 25m,1-stop,17:15,Mumbai,"12,634",0.0
33644,Indigo,21:15,Delhi,10h 30m,1-stop,07:45,Chennai,"7,950",0.0
